Date,Time,Open,High,Low,Close
2023.05.25,16:00:00,1.07183,1.07325,1.07074,1.07125
2023.05.25,20:00:00,1.07125,1.07293,1.07114,1.07251
2023.05.26,00:00:00,1.07257,1.07277,1.07190,1.07254
2023.05.26,04:00:00,1.07253,1.07408,1.07243,1.07398
2023.05.26,08:00:00,1.07398,1.07444,1.07253,1.07317
2023.05.26,12:00:00,1.07315,1.07586,1.07256,1.07420
2023.05.26,16:00:00,1.07420,1.07505,1.07017,1.07196
2023.05.26,20:00:00,1.07196,1.07328,1.07187,1.07258
2023.05.29,00:00:00,1.07225,1.07286,1.07171,1.07198
2023.05.29,04:00:00,1.07198,1.07363,1.07184,1.07361
2023.05.29,08:00:00,1.07361,1.07435,1.07153,1.07240
2023.05.29,12:00:00,1.07238,1.07238,1.07099,1.07148
2023.05.29,16:00:00,1.07148,1.07157,1.07060,1.07127
2023.05.29,20:00:00,1.07128,1.07150,1.07055,1.07093
2023.05.30,00:00:00,1.07094,1.07198,1.07042,1.07137
2023.05.30,04:00:00,1.07138,1.07264,1.07012,1.07080
2023.05.30,08:00:00,1.07081,1.07083,1.06725,1.07047
2023.05.30,12:00:00,1.07047,1.07466,1.06970,1.07223
2023.05.30,16:00:00,1.07223,1.07408,1.07162,1.07208
2023.05.30,20:00:00,1.07207,1.07347,1.07143,1.07346
2023.05.31,00:00:00,1.07295,1.07356,1.07274,1.07351
2023.05.31,04:00:00,1.07351,1.07355,1.06943,1.06981
2023.05.31,08:00:00,1.06981,1.06989,1.06586,1.06597
2023.05.31,12:00:00,1.06595,1.06874,1.06595,1.06807
2023.05.31,16:00:00,1.06808,1.07053,1.06352,1.06379
2023.05.31,20:00:00,1.06379,1.06921,1.06354,1.06885
2023.06.01,00:00:00,1.06850,1.06974,1.06824,1.06865
2023.06.01,04:00:00,1.06865,1.06939,1.06801,1.06817
2023.06.01,08:00:00,1.06814,1.06868,1.06618,1.06865
2023.06.01,12:00:00,1.06871,1.07156,1.06828,1.07081
2023.06.01,16:00:00,1.07080,1.07640,1.07029,1.07598
2023.06.01,20:00:00,1.07600,1.07685,1.07557,1.07615
2023.06.02,00:00:00,1.07573,1.07654,1.07550,1.07618
2023.06.02,04:00:00,1.07618,1.07691,1.07586,1.07630
2023.06.02,08:00:00,1.07631,1.07790,1.07600,1.07742
2023.06.02,12:00:00,1.07741,1.07770,1.07345,1.07473
2023.06.02,16:00:00,1.07474,1.07710,1.07087,1.07100
2023.06.02,20:00:00,1.07100,1.07158,1.07052,1.07060
2023.06.05,00:00:00,1.07078,1.07093,1.06903,1.06937
2023.06.05,04:00:00,1.06937,1.07046,1.06908,1.06998
2023.06.05,08:00:00,1.06999,1.07038,1.06834,1.06960
2023.06.05,12:00:00,1.06960,1.06990,1.06746,1.06788
2023.06.05,16:00:00,1.06786,1.07224,1.06778,1.07115
2023.06.05,20:00:00,1.07115,1.07174,1.07074,1.07125
2023.06.06,00:00:00,1.07125,1.07169,1.07073,1.07160
2023.06.06,04:00:00,1.07160,1.07248,1.07129,1.07233
2023.06.06,08:00:00,1.07233,1.07328,1.06950,1.06992
2023.06.06,12:00:00,1.06993,1.07010,1.06670,1.06706
2023.06.06,16:00:00,1.06706,1.06979,1.06692,1.06883
2023.06.06,20:00:00,1.06883,1.06962,1.06822,1.06923
2023.06.07,00:00:00,1.06931,1.07044,1.06924,1.07004
2023.06.07,04:00:00,1.07004,1.07014,1.06887,1.06904
2023.06.07,08:00:00,1.06905,1.06933,1.06682,1.06930
2023.06.07,12:00:00,1.06932,1.07231,1.06901,1.07160
2023.06.07,16:00:00,1.07158,1.07397,1.06928,1.06932
2023.06.07,20:00:00,1.06932,1.07053,1.06910,1.06982
2023.06.08,00:00:00,1.06951,1.07100,1.06951,1.07085
2023.06.08,04:00:00,1.07086,1.07136,1.07027,1.07115
2023.06.08,08:00:00,1.07115,1.07299,1.07009,1.07267
2023.06.08,12:00:00,1.07267,1.07590,1.07209,1.07468
